gene_id,log2fc,p.adj
jgi|Astpho2|140|Aster-04605,4.595377825,0.004591052
jgi|Astpho2|142|Aster-04607,3.232341252,0.008658219
jgi|Astpho2|160|Aster-04623,1.466684681,0.008483039
jgi|Astpho2|167|Aster-x0897,3.947311613,0.005767701
jgi|Astpho2|169|Aster-04630,0.226936424,0.009157663
jgi|Astpho2|184|Aster-x0899,1.750771041,0.009185934
jgi|Astpho2|192|Aster-08426,4.178653258,0.001627139
jgi|Astpho2|258|e_gw1.00010.136.1_t,1.685629968,0.004333947
jgi|Astpho2|263|e_gw1.00010.19.1_t,4.589933313,0.004839694
jgi|Astpho2|313|Aster-x0433,3.434852379,0.008966687
jgi|Astpho2|325|e_gw1.00010.146.1_t,1.614401395,0.003368223
jgi|Astpho2|337|gw1.00010.140.1_t,2.425253185,0.000916797
jgi|Astpho2|375|gw1.00010.89.1_t,1.298912069,0.006758884
jgi|Astpho2|379|e_gw1.00010.128.1_t,0.564697379,0.002382349
jgi|Astpho2|391|e_gw1.00011.75.1_t,4.818132569,0.004014227
jgi|Astpho2|393|e_gw1.00011.235.1_t,1.551145437,0.002497888
jgi|Astpho2|494|e_gw1.00011.72.1_t,1.550591805,0.001124391
jgi|Astpho2|496|e_gw1.00011.163.1_t,3.466690687,0.003118089
jgi|Astpho2|518|Aster-x0937,3.369574252,0.007484331
jgi|Astpho2|573|e_gw1.00013.9.1_t,2.792506021,0.007812955
jgi|Astpho2|581|e_gw1.00013.53.1_t,2.289648183,0.004881865
jgi|Astpho2|583|Aster-04437,0.861178794,0.006662981
jgi|Astpho2|604|Aster-x0942,1.094535812,0.007537037
jgi|Astpho2|610|Aster-x0945,0.741878569,0.003406447
jgi|Astpho2|627|e_gw1.00013.121.1_t,3.950886569,0.008065846
jgi|Astpho2|637|e_gw1.00013.170.1_t,2.731375813,0.008925215
jgi|Astpho2|643|Aster-04483,1.212255368,0.001475666
jgi|Astpho2|656|Aster-x0948,3.223562478,0.004142418
jgi|Astpho2|679|Aster-x0950,4.734135529,0.008636544
jgi|Astpho2|726|Aster-x0953,0.171170182,0.009676913
jgi|Astpho2|736|e_gw1.00015.43.1_t,0.554364774,0.00626021
jgi|Astpho2|737|e_gw1.00015.6.1_t,1.707487433,0.001156349
jgi|Astpho2|745|e_gw1.00016.173.1_t,2.964649409,0.004701274
jgi|Astpho2|785|Aster-x0454,4.247310556,0.002189039
jgi|Astpho2|817|e_gw1.00016.109.1_t,2.026519083,0.007990054
jgi|Astpho2|843|gw1.00016.405.1_t,1.435930949,0.00258174
jgi|Astpho2|880|Aster-00724,0.387502823,0.000857298
jgi|Astpho2|902|Aster-x0975,0.824749626,0.008477799
jgi|Astpho2|906|Aster-x0461,0.848877527,0.000537623
jgi|Astpho2|922|e_gw1.00016.321.1_t,2.532247488,0.001420845
jgi|Astpho2|923|gw1.00016.357.1_t,0.854884775,0.00843496
jgi|Astpho2|973|Aster-00804,1.950471458,0.000403943
jgi|Astpho2|999|e_gw1.00016.116.1_t,0.46162794,0.008253497
jgi|Astpho2|1010|e_gw1.00016.106.1_t,2.274128657,0.00951765
jgi|Astpho2|1018|Aster-00841,3.111453222,0.005080347
jgi|Astpho2|1038|gw1.00016.279.1_t,4.257988004,0.005903731
jgi|Astpho2|1053|Aster-x0463,1.44904383,0.005324466
jgi|Astpho2|1070|Aster-x0981,0.088050248,0.002631247
jgi|Astpho2|643|Aster-04483,0.821516628,0.046703188
jgi|Astpho2|656|Aster-x0948,4.967976188,0.017668735
jgi|Astpho2|4831|Aster-07528,0.893718872,0.028027587
jgi|Astpho2|5501|e_gw1.00078.24.1_t,4.282690485,0.026303909
jgi|Astpho2|6020|Aster-03977,3.753008295,0.040381706
jgi|Astpho2|101|Aster-x0424,-2.171311571,0.011451233
jgi|Astpho2|124|e_gw1.00004.101.1_t,-4.251088415,0.016427189
jgi|Astpho2|129|gw1.00004.161.1_t,-3.655599988,0.032299709
jgi|Astpho2|583|Aster-04437,-0.845655022,0.028769787
jgi|Astpho2|604|Aster-x0942,-3.804710089,0.003167305
jgi|Astpho2|726|Aster-x0953,-2.355362823,0.024972256
jgi|Astpho2|843|gw1.00016.405.1_t,-1.761504529,0.013474427
jgi|Astpho2|1840|Aster-x0083,-3.806602047,0.045692493
jgi|Astpho2|1905|e_gw1.00038.12.1_t,-0.25044197,0.017988872
jgi|Astpho2|2045|Aster-x1032,-3.559840959,0.005918304
jgi|Astpho2|2262|e_gw1.00040.114.1_t,-1.667805862,0.033336268
jgi|Astpho2|2351|gw1.00044.127.1_t,-4.407122287,0.044106922
jgi|Astpho2|2558|e_gw1.00048.26.1_t,-2.453893132,0.036199242
jgi|Astpho2|2858|Aster-x0135,-3.583868355,0.029105281
jgi|Astpho2|2859|e_gw1.00050.244.1_t,-4.091667808,0.038401246
jgi|Astpho2|3848|Aster-04363,-0.504186077,0.020541599
jgi|Astpho2|4601|Aster-x0206,-3.317095607,0.018926808
jgi|Astpho2|4919|gw1.00069.91.1_t,-0.599700289,0.001448545
jgi|Astpho2|5305|gw1.00075.61.1_t,-3.415850216,0.01927692
jgi|Astpho2|5546|Aster-02806,-2.396847887,0.000345312
jgi|Astpho2|5733|Aster-02261,-0.019199506,0.040878032
jgi|Astpho2|5869|Aster-02370,-2.880343357,0.010626369
jgi|Astpho2|5918|e_gw1.00080.110.1_t,-1.599473509,0.036601463
jgi|Astpho2|6409|e_gw1.00093.27.1_t,-2.564942188,0.006755327
jgi|Astpho2|6552|Aster-07334,-1.542117996,0.035529818
jgi|Astpho2|6713|Aster-x1395,-0.129976184,0.037238263
jgi|Astpho2|7043|gw1.00107.195.1_t,-2.045918623,0.028619283
jgi|Astpho2|7391|Aster-01980,-4.758476749,0.028492549
jgi|Astpho2|7480|Aster-02053,-0.194296581,0.038041076
jgi|Astpho2|7503|e_gw1.00114.261.1_t,-0.5126031,0.031414088
jgi|Astpho2|7753|gw1.00116.38.1_t,-2.657813582,0.045374833
jgi|Astpho2|8006|Aster-x1475,-1.315003291,0.019989894
jgi|Astpho2|8316|e_gw1.00122.11.1_t,-3.459993839,0.024095553
jgi|Astpho2|8360|e_gw1.00122.98.1_t,-1.441357873,0.045516954
jgi|Astpho2|8562|Aster-05596,-4.627652118,0.033587608
jgi|Astpho2|9278|Aster-x1566,-4.647710994,0.023900897
jgi|Astpho2|9381|Aster-01650,-2.08530953,0.046911249
jgi|Astpho2|9561|e_gw1.00146.192.1_t,-0.909827964,0.038349697
jgi|Astpho2|9570|Aster-x0859,-4.269354042,0.014351979
jgi|Astpho2|9597|gw1.00146.191.1_t,-2.920166826,0.015488519
jgi|Astpho2|37|e_gw1.00001.82.1_t,-3.07902012,0.001072319
jgi|Astpho2|604|Aster-x0942,-4.200724862,6.83E-05
jgi|Astpho2|785|Aster-x0454,2.180340691,0.002378727
jgi|Astpho2|1018|Aster-00841,-1.17225816,0.007269825
jgi|Astpho2|2283|Aster-x1062,2.698919126,0.004736248
jgi|Astpho2|2294|e_gw1.00040.130.1_t,3.2405882,0.005245136
jgi|Astpho2|2451|Aster-x0534,1.962968276,0.007882676
jgi|Astpho2|2806|Aster-x0132,-0.92903917,0.006931315
jgi|Astpho2|3567|Aster-x0169,4.156887636,0.009932221
jgi|Astpho2|3848|Aster-04363,1.892483495,0.000166036
jgi|Astpho2|3996|e_gw1.00063.318.1_t,1.017985814,0.003443197
jgi|Astpho2|4021|e_gw1.00063.214.1_t,2.411748057,0.008699918
jgi|Astpho2|4325|gw1.00065.41.1_t,0.253519281,0.004483181
jgi|Astpho2|4510|e_gw1.00067.14.1_t,0.382944511,0.005381744
jgi|Astpho2|4601|Aster-x0206,-3.544859542,0.007840157
jgi|Astpho2|5074|Aster-08011,-2.654181479,0.002030472
jgi|Astpho2|5494|Aster-07830,4.770658542,0.008187866
jgi|Astpho2|6447|e_gw1.00094.25.1_t,-4.924060698,0.002672616
jgi|Astpho2|7771|Aster-x0783,4.509036595,0.007085211
jgi|Astpho2|8084|Aster-x0345,-2.89545343,0.002943038
jgi|Astpho2|3|Aster-07462,1.024463773,0.001598685
jgi|Astpho2|5|gw1.00001.37.1_t,-2.620284948,0.000910218
jgi|Astpho2|8|Aster-x0001,2.34505584,0.006056697
jgi|Astpho2|13|e_gw1.00001.28.1_t,-0.945601524,0.004567439
jgi|Astpho2|34|gw1.00001.47.1_t,4.676343899,0.005656382
jgi|Astpho2|35|Aster-07488,1.86376391,0.000755089
jgi|Astpho2|37|e_gw1.00001.82.1_t,-1.465982534,0.006255907
jgi|Astpho2|47|Aster-x0888,0.933359521,0.004129281
jgi|Astpho2|63|Aster-04538,-0.809021245,0.008177906
jgi|Astpho2|66|Aster-04540,-3.724432318,0.004830032
jgi|Astpho2|70|gw1.00004.126.1_t,3.138507674,0.00069879
jgi|Astpho2|71|e_gw1.00004.153.1_t,1.398890403,0.006799698
jgi|Astpho2|101|Aster-x0424,-1.33001375,0.005721371
jgi|Astpho2|116|e_gw1.00004.77.1_t,1.612295441,0.000166677
jgi|Astpho2|140|Aster-04605,1.639116388,0.008771418
jgi|Astpho2|142|Aster-04607,-0.62856605,0.009879992
jgi|Astpho2|156|e_gw1.00004.13.1_t,1.394664608,0.00633002
jgi|Astpho2|160|Aster-04623,4.923885574,0.008659112
jgi|Astpho2|167|Aster-x0897,2.312151925,0.003475044
jgi|Astpho2|169|Aster-04630,-1.176444977,0.001575964
jgi|Astpho2|184|Aster-x0899,-2.500059523,0.002644103
jgi|Astpho2|192|Aster-08426,-2.953232452,0.005615507
jgi|Astpho2|227|e_gw1.00010.31.1_t,1.469893032,0.001970481
jgi|Astpho2|247|Aster-x0017,-0.920807933,0.006824854
jgi|Astpho2|258|e_gw1.00010.136.1_t,-4.767087486,0.009676474
jgi|Astpho2|263|e_gw1.00010.19.1_t,-2.861564057,0.009696546
jgi|Astpho2|313|Aster-x0433,-1.848058447,0.007986395
jgi|Astpho2|315|Aster-02199,-0.239798177,0.009136015
jgi|Astpho2|325|e_gw1.00010.146.1_t,-4.967306291,0.001882595
jgi|Astpho2|337|gw1.00010.140.1_t,-0.262217643,0.007682687
jgi|Astpho2|352|e_gw1.00010.130.1_t,0.02031422,0.005431988
jgi|Astpho2|375|gw1.00010.89.1_t,0.421953036,0.005423699
jgi|Astpho2|379|e_gw1.00010.128.1_t,1.559731779,0.005880295
jgi|Astpho2|393|e_gw1.00011.235.1_t,-4.898988206,0.003001868
jgi|Astpho2|413|e_gw1.00011.181.1_t,2.891287466,0.005454621
jgi|Astpho2|489|Aster-03530,-1.061249296,0.00712123
jgi|Astpho2|494|e_gw1.00011.72.1_t,-2.510559158,0.000522133
jgi|Astpho2|496|e_gw1.00011.163.1_t,2.884743884,0.008761514
jgi|Astpho2|518|Aster-x0937,-0.328617396,0.007264832
jgi|Astpho2|520|e_gw1.00011.257.1_t,0.763791488,0.000901006
jgi|Astpho2|541|e_gw1.00012.29.1_t,0.98325362,0.008459877
jgi|Astpho2|573|e_gw1.00013.9.1_t,2.180128221,0.004414115
jgi|Astpho2|581|e_gw1.00013.53.1_t,-1.616135004,0.006582553
jgi|Astpho2|583|Aster-04437,-1.822754343,0.000201686
jgi|Astpho2|604|Aster-x0942,3.546403975,0.00983046
jgi|Astpho2|627|e_gw1.00013.121.1_t,0.796027316,0.007368989
jgi|Astpho2|635|Aster-04477,4.075554244,0.009646289
jgi|Astpho2|637|e_gw1.00013.170.1_t,4.327333614,0.000742479
jgi|Astpho2|643|Aster-04483,-4.713922455,0.005360825
jgi|Astpho2|655|Aster-04494,3.834877324,0.001313797
jgi|Astpho2|656|Aster-x0948,-4.340017554,0.007668606
jgi|Astpho2|679|Aster-x0950,-3.43636089,0.006768739
jgi|Astpho2|726|Aster-x0953,-1.424243152,0.009328893
jgi|Astpho2|737|e_gw1.00015.6.1_t,3.97208011,0.008823217
jgi|Astpho2|745|e_gw1.00016.173.1_t,2.486388239,0.00688808
jgi|Astpho2|768|Aster-x0967,1.405126359,0.001895014
jgi|Astpho2|785|Aster-x0454,-1.064058191,0.003917475
jgi|Astpho2|815|Aster-00669,-3.96005861,0.007550609
jgi|Astpho2|816|Aster-00670,-4.594729485,0.006781822
jgi|Astpho2|817|e_gw1.00016.109.1_t,-0.302747576,0.000639299
jgi|Astpho2|843|gw1.00016.405.1_t,2.297426662,0.008750967
jgi|Astpho2|865|Aster-00712,-1.272005148,0.009024509
jgi|Astpho2|898|e_gw1.00016.296.1_t,2.717521659,0.009383546
jgi|Astpho2|902|Aster-x0975,4.076634464,0.00632643
jgi|Astpho2|906|Aster-x0461,-3.815732929,0.006972564
jgi|Astpho2|922|e_gw1.00016.321.1_t,1.134593787,0.005530479
jgi|Astpho2|923|gw1.00016.357.1_t,3.243324603,0.000579791
jgi|Astpho2|959|Aster-00792,-0.72778211,0.009787983
jgi|Astpho2|973|Aster-00804,-1.9313093,0.007349001
jgi|Astpho2|999|e_gw1.00016.116.1_t,-1.967054287,0.003894357
